"destination","commercial.flag","city","region","country","fligh.direction","flight.type","date","date.year","nbr.of.passengers","cargo.weight","nbr.of.flights","seat.capacity"
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2008-02-01,2008,1,0,9,900
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2008-03-01,2008,103,0,10,830
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2008-07-01,2008,472,0,8,772
"Amman/Marka","Commercial","Amman","","Jordan","Outgoing","Non Scheduled",2008-10-01,2008,0,0,1,211
"Amman/Marka","Commercial","Amman","","Jordan","Incoming","Non Scheduled",2011-11-01,2011,104,0,1,121
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2012-02-01,2012,139,1793,1,168
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2011-11-01,2011,939,11592,13,1678
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2011-01-01,2011,460,2407,8,920
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2007-10-01,2007,722,0,9,1710
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2008-01-01,2008,294,0,8,800
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2008-09-01,2008,357,0,8,770
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2008-07-01,2008,569,0,8,772
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2008-10-01,2008,701,0,12,1350
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2009-06-01,2009,758,0,9,981
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2010-08-01,2010,780,0,13,1750
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2011-11-01,2011,1124,4948,12,1557
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2011-12-01,2011,947,3726,13,1549
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2011-05-01,2011,601,5076,9,1053
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2008-04-01,2008,156,0,8,800
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2008-10-01,2008,811,0,11,1250
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2009-02-01,2009,215,0,8,675
